,CPI_index,M2,rate,GOV_EXP,ELECTION
2008-01-01,128.31020407761915,541829.3597191434,11.0,829538.6,1.0
2008-04-01,132.3180362024432,557417.1302216767,11.0,859050.275,1.0
2008-07-01,129.13987975468046,597554.60215727,11.0,888561.95,0.0
2008-10-01,130.301466723424,570465.1422544633,12.0,918073.625,0.0
2009-01-01,131.0178404066992,406258.0705487267,12.0,947585.3,0.0
2009-04-01,136.95062738386812,370104.27211862337,12.0,954655.025,0.0
2009-07-01,133.64285736580723,421373.2811268633,12.0,961724.75,0.0
2009-10-01,136.74362870820246,438738.9220305334,12.0,968794.475,0.0
2010-01-01,142.12698906310877,410623.2051973667,13.0,975864.2,0.0
2010-04-01,145.46020400141515,418465.8103628333,13.0,985273.125,0.0
2010-07-01,145.15216934208468,449908.22078910004,13.0,994682.05,0.0
2010-10-01,149.50223481603243,490755.2474805667,12.333333333333334,1004090.975,0.0
2011-01-01,158.61641150359864,495043.85349000007,12.0,1013499.9,0.0
2011-04-01,158.8696381003007,527155.9738124334,12.0,1019361.025,0.0
2011-07-01,152.45251842123784,586685.9508116667,12.0,1025222.15,0.0
2011-10-01,155.93649034320484,625889.0254174001,12.0,1031083.275,0.0
2012-01-01,163.93197756116695,633627.81340391,12.0,1036944.4,1.0
2012-04-01,160.4608341079446,660369.116463406,12.0,1070352.3,1.0
2012-07-01,155.98865352275683,680676.0205682701,12.0,1103760.2,0.0
2012-10-01,161.0927774335339,716602.22079077,12.0,1137168.1,0.0
2013-01-01,168.6146602000625,712028.1487564767,12.0,1170576.0,0.0
2013-04-01,168.61291911405345,728948.7929426935,12.0,1195120.9,0.0
2013-07-01,169.39970252895492,751862.3837830567,12.0,1219665.8,0.0
2013-10-01,171.4981570493006,801348.3356018299,12.0,1244210.7000000002,0.0
2014-01-01,176.45633126340635,792120.5140855567,12.0,1268755.6,0.0
2014-04-01,174.16304226805423,821829.3396387734,12.0,1312559.35,0.0
2014-07-01,171.07393701018043,860486.1557944068,12.0,1356363.1,0.0
2014-10-01,176.91062332602255,849357.2333394267,12.0,1400166.85,0.0
2015-01-01,185.5250536840224,760603.1683856401,12.0,1443970.6,0.0
2015-04-01,183.12563133935578,786783.0029652567,12.0,1454290.675,0.0
2015-07-01,177.29656447765055,805436.2587260866,12.0,1464610.75,0.0
2015-10-01,178.47863447345887,831008.2820881166,12.0,1474930.825,0.0
2016-01-01,182.9188689845047,832349.9986533322,12.0,1485250.9,0.0
2016-04-01,180.00164451265195,895976.0987137932,12.0,1499340.6749999998,0.0
2016-07-01,174.3379672175234,953725.80484837,12.0,1513430.45,0.0
2016-10-01,176.84842977627366,1017804.7079232866,12.0,1527520.225,0.0
2017-01-01,182.09324708106385,1071793.9012758166,12.0,1541610.0,1.0
2017-04-01,182.1996033548571,1116505.9093773002,12.0,1526396.725,1.0
2017-07-01,175.92330514425518,1218424.752037083,12.0,1511183.45,0.0
2017-10-01,180.59852220353392,1303360.9406008932,12.0,1495970.1749999998,0.0
2018-01-01,188.16348491486409,1355323.70399763,12.0,1480756.9,0.0
2018-04-01,185.17127621746442,1390787.18209256,12.0,1527390.2249999999,0.0
2018-07-01,181.27967933321102,1454385.8803558166,12.0,1574023.5499999998,0.0
2018-10-01,184.31995912355455,1513786.0730813865,12.0,1620656.875,0.0
2019-01-01,190.95340053954615,1551948.9619511731,12.0,1667290.2,0.0
2019-04-01,189.55312899171153,1593012.6847975065,12.0,1731692.625,0.0
2019-07-01,182.96707085353296,1673750.30229064,12.0,1796095.0499999998,0.0
2019-10-01,186.2200753871572,1800428.87771505,12.0,1860497.4749999999,0.0
2020-01-01,191.20993099570182,1860858.0565739733,12.0,1924899.9,0.0
2020-04-01,192.41304927836418,1918850.2139072034,12.0,1959160.25,0.0
2020-07-01,186.29485447316895,2059344.6884133567,12.0,1993420.6,0.0
2020-10-01,190.67993947577008,2100391.146351577,12.0,2027680.95,0.0
2021-01-01,201.56021573437283,2129258.1105120634,12.0,2061941.3,1.0
2021-04-01,204.8490753152591,2181528.6599141867,12.0,2127046.2,1.0
2021-07-01,202.9352419011359,2305973.844478973,12.0,2192151.1,0.0
2021-10-01,207.91789175793863,2379534.97612354,12.0,2257256.0,0.0
2022-01-01,216.1081745978414,2398723.90873844,12.0,2322360.9,0.0
2022-04-01,224.16306836251863,2455733.775562947,12.0,2401359.025,0.0
2022-07-01,222.27944572935522,2545041.1240141196,12.0,2480357.15,0.0
2022-10-01,226.45788628067405,2695624.9749784297,12.0,2559355.275,0.0
2023-01-01,231.7574967310662,2763838.8485322264,12.0,2638353.4,0.0
2023-04-01,227.15091811872477,2927840.2565805097,12.0,2741200.85,0.0
2023-07-01,222.22403759383647,3137580.849574307,12.0,2844048.3,0.0
2023-10-01,225.72244379436358,3288906.432418537,12.0,2946895.75,0.0
2024-01-01,228.95163749242874,3329740.312301123,12.0,3049743.2,0.0
2024-04-01,227.57164495604175,3422876.7419120665,12.0,,0.0
2024-07-01,224.99120965588438,3635620.1113308403,12.0,,0.0
2024-10-01,228.76439328853496,3874417.5685923467,12.0,,0.0
2025-01-01,235.05580960297073,3962420.5356678665,12.0,,0.0
2025-04-01,236.53973075669592,4163255.9942714334,12.0,,0.0
2025-07-01,233.38185791954834,4425220.695209567,12.0,,0.0
2025-10-01,236.58898050597392,4757625.148311533,12.0,,0.0
